# id	length	x	y	z	rot_z	rot_y	rot_x
21	0.33	0.0	4.0	0	0	0	0
22	0.33	1.0	4.0	0	0	0	0
23	0.33	2.0	4.0	0	0	0	0
24	0.33	3.0	4.0	0	0	0	0
25	0.33	4.0	4.0	0	0	0	0
46	0.33	0.0	3.0	0	0	0	0
47	0.33	1.0	3.0	0	0	0	0
48	0.33	2.0	3.0	0	0	0	0
49	0.33	3.0	3.0	0	0	0	0
50	0.33	4.0	3.0	0	0	0	0
57	0.33	0.0	2.0	0	0	0	0
58	0.33	1.0	2.0	0	0	0	0
59	0.33	2.0	2.0	0	0	0	0
60	0.33	3.0	2.0	0	0	0	0
61	0.33	4.0	2.0	0	0	0	0
68	0.33	0.0	1.0	0	0	0	0
69	0.33	1.0	1.0	0	0	0	0
70	0.33	2.0	1.0	0	0	0	0
71	0.33	3.0	1.0	0	0	0	0
72	0.33	4.0	1.0	0	0	0	0
79	0.33	0.0	0.0	0	0	0	0
80	0.33	1.0	0.0	0	0	0	0
81	0.33	2.0	0.0	0	0	0	0
82	0.33	3.0	0.0	0	0	0	0
83	0.33	4.0	0.0	0	0	0	0
